year	corps	regiments	kicks	NCOs	drowned	falls
1885	G	8	0	0	0	0
1885	I	6	0	0	11	0
1885	II	4	0	0	4	0
1885	III	4	0	0	1	0
1885	IV	4	0	0	3	1
1885	V	4	0	0	2	0
1885	VI	5	1	0	5	1
1885	VII	4	0	0	3	0
1885	VIII	4	0	0	5	2
1885	IX	4	2	0	11	0
1885	X	4	0	0	4	0
1885	XI	6	1	0	4	0
1885	XIV	4	0	0	1	0
1885	XV	4	1	0	5	3
1886	G	8	2	0	2	0
1886	I	6	1	0	13	1
1886	II	4	0	0	9	0
1886	III	4	0	0	3	0
1886	IV	4	1	0	8	1
1886	V	4	1	0	5	1
1886	VI	5	1	0	5	0
1886	VII	4	0	0	8	1
1886	VIII	4	0	0	2	0
1886	IX	4	1	0	6	0
1886	X	4	0	0	3	0
1886	XI	6	1	0	5	0
1886	XIV	4	3	0	2	0
1886	XV	4	0	0	8	1
1887	G	8	1	0	5	0
1887	I	6	1	1	4	0
1887	II	4	2	0	4	0
1887	III	4	1	0	2	0
1887	IV	4	0	0	1	0
1887	V	4	0	0	5	1
1887	VI	5	3	0	4	1
1887	VII	4	2	0	7	0
1887	VIII	4	1	0	2	0
1887	IX	4	1	0	2	0
1887	X	4	0	0	3	0
1887	XI	6	1	0	1	0
1887	XIV	4	2	0	4	1
1887	XV	4	0	0	9	0
1888	G	8	0	0	3	1
1888	I	6	1	0	10	0
1888	II	4	1	0	6	1
1888	III	4	0	0	3	0
1888	IV	4	0	0	3	0
1888	V	4	1	0	4	0
1888	VI	5	1	0	6	1
1888	VII	4	0	0	3	1
1888	VIII	4	0	0	5	1
1888	IX	4	0	0	4	0
1888	X	4	0	0	2	0
1888	XI	6	1	0	2	0
1888	XIV	4	1	1	0	0
1888	XV	4	0	0	9	1
1889	G	8	0	0	3	0
1889	I	6	0	0	8	0
1889	II	4	1	0	6	0
1889	III	4	1	0	2	2
1889	IV	4	0	0	5	0
1889	V	4	1	0	6	0
1889	VI	5	1	0	0	1
1889	VII	4	0	0	5	1
1889	VIII	4	0	0	4	2
1889	IX	4	1	0	2	0
1889	X	4	2	0	5	1
1889	XI	6	2	0	1	2
1889	XIV	4	0	0	4	1
1889	XV	4	2	0	8	0
1890	G	8	1	0	3	1
1890	I	6	2	0	11	0
1890	II	4	0	0	6	1
1890	III	4	2	0	13	0
1890	IV	4	0	0	5	1
1890	V	4	1	0	5	1
1890	VI	5	1	0	4	1
1890	VII	4	2	0	4	0
1890	VIII	4	0	0	2	1
1890	IX	4	2	0	5	0
1890	X	4	1	0	7	0
1890	XI	6	1	0	8	1
1890	XIV	4	2	0	0	1
1890	XV	4	2	0	6	1
1891	G	8	0	0	5	0
1891	I	6	0	0	3	0
1891	II	4	0	0	2	0
1891	III	4	1	0	5	0
1891	IV	4	1	0	3	0
1891	V	4	1	0	7	0
1891	VI	5	0	0	5	1
1891	VII	4	1	0	1	0
1891	VIII	4	1	0	4	0
1891	IX	4	0	0	6	1
1891	X	4	3	0	2	0
1891	XI	6	3	0	3	0
1891	XIV	4	1	0	6	0
1891	XV	4	0	0	9	1
1892	G	8	1	0	5	0
1892	I	6	3	0	5	0
1892	II	4	2	1	2	1
1892	III	4	0	0	5	0
1892	IV	4	1	0	6	0
1892	V	4	1	0	4	0
1892	VI	5	3	0	11	0
1892	VII	4	0	0	2	0
1892	VIII	4	1	0	4	1
1892	IX	4	1	0	4	0
1892	X	4	0	0	2	0
1892	XI	6	1	0	9	0
1892	XIV	4	1	0	1	1
1892	XV	4	0	0	5	0
1893	G	8	0	0	0	2
1893	I	6	1	0	8	1
1893	II	4	0	0	1	0
1893	III	4	0	0	3	0
1893	IV	4	0	0	3	0
1893	V	4	1	0	2	0
1893	VI	5	0	0	3	0
1893	VII	4	2	0	4	1
1893	VIII	4	0	0	3	1
1893	IX	4	0	0	1	0
1893	X	4	1	0	4	0
1893	XI	6	3	0	5	0
1893	XIV	4	0	0	1	1
1893	XV	4	0	0	5	1
1894	G	8	1	0	0	2
1894	I	6	0	0	8	0
1894	II	4	0	0	1	0
1894	III	4	0	0	7	0
1894	IV	4	0	0	4	0
1894	V	4	0	0	3	3
1894	VI	5	0	0	2	1
1894	VII	4	0	0	4	0
1894	VIII	4	1	0	6	1
1894	IX	4	0	0	4	0
1894	X	4	1	0	1	0
1894	XI	6	1	0	3	2
1894	XIV	4	0	0	6	1
1894	XV	4	0	0	4	0
1895	G	8	1	0	3	0
1895	I	6	0	0	12	0
1895	II	4	1	0	2	0
1895	III	4	2	0	5	1
1895	IV	4	3	1	1	0
1895	V	4	1	0	0	1
1895	VI	5	2	0	4	1
1895	VII	4	1	1	4	0
1895	VIII	4	0	0	4	0
1895	IX	4	0	0	1	0
1895	X	4	0	0	1	3
1895	XI	6	0	0	5	1
1895	XIV	4	1	0	4	0
1895	XV	4	1	0	4	1
1896	G	8	1	0	3	1
1896	I	6	1	0	8	0
1896	II	4	1	0	4	1
1896	III	4	0	0	6	1
1896	IV	4	0	0	0	0
1896	V	4	0	0	4	0
1896	VI	5	2	0	1	2
1896	VII	4	0	0	6	2
1896	VIII	4	0	0	2	1
1896	IX	4	0	0	3	2
1896	X	4	0	0	1	0
1896	XI	6	0	0	3	2
1896	XIV	4	0	0	3	0
1896	XV	4	0	0	2	0
1897	G	8	1	0	3	0
1897	I	6	0	0	4	0
1897	II	4	3	0	4	0
1897	III	4	0	0	4	0
1897	IV	4	0	0	3	0
1897	V	4	1	0	3	1
1897	VI	5	1	0	3	0
1897	VII	4	1	0	2	1
1897	VIII	4	0	0	3	1
1897	IX	4	0	0	0	0
1897	X	4	0	0	0	0
1897	XI	6	1	0	0	1
1897	XIV	4	1	0	0	0
1897	XV	4	0	0	9	2
1898	G	8	0	0	1	1
1898	I	6	0	0	5	2
1898	II	4	1	0	2	2
1898	III	4	2	0	4	0
1898	IV	4	1	0	3	1
1898	V	4	1	0	5	0
1898	VI	5	1	0	1	0
1898	VII	4	0	0	2	0
1898	VIII	4	0	0	5	0
1898	IX	4	0	0	3	0
1898	X	4	0	0	2	0
1898	XI	6	1	0	3	0
1898	XIV	4	0	0	2	0
1898	XV	4	0	0	3	1
1899	G	8	0	0	4	0
1899	I	6	0	0	6	1
1899	II	4	0	0	2	0
1899	III	4	0	0	4	1
1899	IV	4	1	0	4	0
1899	V	4	2	0	1	0
1899	VI	5	3	0	5	1
1899	VII	4	0	0	6	0
1899	VIII	4	1	0	6	1
1899	IX	4	0	0	0	1
1899	X	4	1	0	3	0
1899	XI	6	0	0	0	2
1899	XIV	4	0	0	4	0
1899	XV	4	0	0	4	1
1900	G	8	1	NA	6	0
1900	I	6	2	NA	3	1
1900	II	4	0	NA	6	1
1900	III	4	0	NA	1	0
1900	IV	4	1	NA	5	0
1900	V	4	1	NA	8	0
1900	VI	5	0	NA	4	1
1900	VII	4	0	NA	2	0
1900	VIII	4	0	NA	5	0
1900	IX	4	1	NA	3	1
1900	X	4	1	NA	3	0
1900	XI	6	0	NA	1	0
1900	XIV	4	1	NA	1	0
1900	XV	4	1	NA	5	1
1901	G	8	0	NA	1	2
1901	I	6	0	NA	6	0
1901	II	4	0	NA	3	1
1901	III	4	2	NA	5	1
1901	IV	4	1	NA	1	0
1901	V	4	1	NA	2	0
1901	VI	5	1	NA	4	0
1901	VII	4	0	NA	4	0
1901	VIII	4	1	NA	1	0
1901	IX	4	0	NA	11	0
1901	X	4	0	NA	3	1
1901	XI	6	0	NA	2	0
1901	XIV	4	1	NA	5	0
1901	XV	4	2	NA	9	0
1902	G	8	0	NA	1	0
1902	I	6	1	NA	1	0
1902	II	4	0	NA	6	1
1902	III	4	1	NA	2	1
1902	IV	4	0	NA	4	1
1902	V	4	1	NA	3	1
1902	VI	5	2	NA	8	0
1902	VII	4	0	NA	4	0
1902	VIII	4	1	NA	6	0
1902	IX	4	1	NA	4	0
1902	X	4	0	NA	4	1
1902	XI	6	1	NA	1	0
1902	XIV	4	0	NA	2	0
1902	XV	4	0	NA	5	0
1903	G	8	0	NA	1	0
1903	I	6	1	NA	8	0
1903	II	4	0	NA	5	0
1903	III	4	1	NA	5	0
1903	IV	4	0	NA	1	1
1903	V	4	1	NA	2	1
1903	VI	5	2	NA	3	0
1903	VII	4	1	NA	3	0
1903	VIII	4	0	NA	2	0
1903	IX	4	0	NA	2	0
1903	X	4	0	NA	2	0
1903	XI	6	0	NA	3	0
1903	XIV	4	1	NA	2	1
1903	XV	4	3	NA	3	0
1904	G	8	0	NA	4	1
1904	I	6	1	NA	6	0
1904	II	4	0	NA	5	2
1904	III	4	1	NA	2	0
1904	IV	4	1	NA	3	1
1904	V	4	2	NA	2	0
1904	VI	5	0	NA	2	0
1904	VII	4	2	NA	2	1
1904	VIII	4	1	NA	4	1
1904	IX	4	0	NA	2	1
1904	X	4	0	NA	2	0
1904	XI	6	1	NA	0	0
1904	XIV	4	0	NA	3	0
1904	XV	4	3	NA	3	1
1905	G	8	2	NA	2	0
1905	I	6	1	NA	4	2
1905	II	4	0	NA	2	1
1905	III	4	2	NA	3	0
1905	IV	4	0	NA	1	0
1905	V	4	0	NA	3	0
1905	VI	5	0	NA	5	1
1905	VII	4	0	NA	8	1
1905	VIII	4	0	NA	2	1
1905	IX	4	0	NA	2	1
1905	X	4	0	NA	2	1
1905	XI	6	1	NA	2	0
1905	XIV	4	1	NA	1	4
1905	XV	4	2	NA	3	0
1906	G	8	2	NA	3	0
1906	I	6	0	NA	8	0
1906	II	4	1	NA	3	0
1906	III	4	0	NA	5	1
1906	IV	4	1	NA	1	0
1906	V	4	3	NA	3	0
1906	VI	5	3	NA	2	0
1906	VII	4	0	NA	1	0
1906	VIII	4	1	NA	2	0
1906	IX	4	1	NA	4	0
1906	X	4	1	NA	4	0
1906	XI	6	1	NA	1	1
1906	XIV	4	1	NA	2	0
1906	XV	4	1	NA	3	0
1907	G	8	2	NA	4	0
1907	I	6	2	NA	13	0
1907	II	4	0	NA	2	0
1907	III	4	0	NA	1	1
1907	IV	4	1	NA	2	0
1907	V	4	0	NA	5	0
1907	VI	5	1	NA	0	0
1907	VII	4	0	NA	2	0
1907	VIII	4	0	NA	1	0
1907	IX	4	1	NA	0	1
1907	X	4	1	NA	2	2
1907	XI	6	1	NA	0	1
1907	XIV	4	1	NA	2	0
1907	XV	4	1	NA	2	2
